,Unnamed: 0,Number of views last 7 days,currency,Price_Euros,Boat Type,Manufacturer,Type,Condition,Year Built,Length,Width,Material,Country,price_percentile
66,66,879,CHF,34600.5,"Bowrider,Wakeboard/Wakesurf",Moomba ,"Used boat,Unleaded",Used,2011.0,6.25,2.41,GRP,Switzerland ,11-20
67,67,875,CHF,77220.0,Motor Yacht,Riva ,"Used boat,Unleaded",Used,1967.0,5.7,2.2,Wood,Switzerland ,41-50
68,68,873,CHF,9172.35,Sport Boat,Karel ,"new boat on order,Unleaded",new,2020.0,4.8,1.9,GRP,Switzerland ,0-10
69,69,870,EUR,80000.0,Cabin Boat,Sessa ,"Used boat,Diesel",Used,2010.0,10.0,3.0,Plastic,Czech Republic ,41-50
70,70,870,CHF,38115.0,Sport Boat,Chaparral ,"Used boat,Unleaded",Used,1998.0,7.5,2.59,GRP,Switzerland ,21-30
71,71,869,EUR,220000.0,Cabin Boat,Sunseeker ,"Used boat,Diesel",Used,2004.0,14.76,4.2,,France ,71-80
72,72,869,EUR,1020000.0,Flybridge,Jeanneau ,"Used boat,Diesel",Used,2016.0,19.5,5.1,GRP,Croatia (Hrvatska) ,91-100
73,73,868,EUR,89000.0,Classic,van de Werf ,"Used boat,Diesel",Used,1901.0,11.0,3.0,Steel,Germany ,41-50
74,74,867,CHF,24255.0,"Cabin Boat,Sport Boat,Wakeboard/Wakesurf",Galeon ,"Used boat,Unleaded",Used,2015.0,6.19,2.48,GRP,Switzerland ,11-20
75,75,866,CHF,6930.0,Cabin Boat,Fjord ,"Used boat,Unleaded",Used,1980.0,7.26,2.9,GRP,Switzerland ,0-10
76,76,866,CHF,17820.0,"Cabin Boat,Classic,Motor Yacht",Scand ,"Used boat,Diesel",Used,1989.0,7.8,2.85,GRP,Switzerland ,0-10
77,77,863,CHF,22770.0,Cabin Boat,Sea Ray ,"Used boat,Unleaded",Used,1992.0,7.0,2.43,GRP,Switzerland ,11-20
78,78,860,CHF,63162.0,Sport Boat,Regal ,"Used boat,Unleaded",Used,2016.0,6.75,2.5,GRP,Switzerland ,31-40
79,79,859,EUR,45553.0,Bowrider,Glastron ,"new boat from stock,Unleaded",new,2019.0,5.95,2.3,GRP,Switzerland ,21-30
80,80,851,EUR,29900.0,Sport Boat,Sea Ray ,"Used boat,Unleaded",Used,2006.0,6.96,2.55,GRP,Donau,11-20
81,81,849,CHF,3762.0,Fishing Boat,Hensa  ,"Used boat,Unleaded",Used,1974.0,5.4,1.67,Plastic,Switzerland ,0-10
82,82,832,EUR,86000.0,Motor Yacht,Nimbus ,"Used boat,Diesel",Used,1996.0,10.0,3.3,Plastic,Germany ,41-50
83,83,829,CHF,15840.0,Cabin Boat,Cranchi ,"Used boat,Unleaded",Used,1988.0,9.75,2.84,GRP,"Lago Maggiore, Minusio",0-10
84,84,826,EUR,12500.0,Sport Boat,Four Winns ,"Used boat,Unleaded",Used,1995.0,7.0,2.4,GRP,Netherlands ,0-10
85,85,826,CHF,94050.0,"Motor Yacht,Wakeboard/Wakesurf",Malibu ,"Used boat,Unleaded",Used,2017.0,7.01,2.59,,Switzerland ,51-60
86,86,811,EUR,29999.0,Trawler,Bayliner ,"Used boat,Unleaded",Used,2009.0,6.7,2.44,,TravemÃ¼nde ,11-20
87,87,810,CHF,49401.0,Offshore Boat,Tullio Abbate ,"Used boat,Unleaded",Used,1985.0,10.8,2.6,GRP,Switzerland ,21-30
88,88,806,CHF,177210.0,House Boat,Linssen ,"Used boat,Diesel",Used,1998.0,10.1,3.45,Steel,Switzerland ,61-70
89,89,801,EUR,95000.0,"Sport Boat,Wakeboard/Wakesurf,Water ski",Tony Giugliano ,"Used boat,Unleaded",Used,2011.0,8.25,2.56,GRP,Germany ,51-60
90,90,799,CHF,33858.0,Offshore Boat,Baja ,"Used boat,Unleaded",Used,1996.0,9.1,2.5,GRP,Switzerland ,11-20
91,91,799,CHF,35640.0,Cabin Boat,Quicksilver ,"Used boat,Unleaded",Used,2011.0,8.0,2.5,Plastic,Switzerland ,21-30
92,92,792,CHF,12375.0,Sport Boat,Windy ,"Used boat,Unleaded",Used,1988.0,8.0,2.8,Plastic,Lake Geneva ,0-10
93,93,790,CHF,85140.0,"Classic,Runabout",Pegiva ,"Used boat,Diesel",Used,2007.0,7.7,2.32,GRP,Switzerland ,41-50
94,94,785,CHF,124641.0,Sport Boat,Bryant Boats ,"new boat from stock,Unleaded",new,2019.0,7.0,2.5,GRP,Switzerland ,51-60
95,95,783,EUR,10000.0,Sport Boat,A. Mostes ,"Used boat,Unleaded",Used,1991.0,7.15,2.36,GRP,Italy ,0-10
96,96,781,CHF,7920.0,Cabin Boat,Ockelbo ,"Used boat,Unleaded",Used,1963.0,5.6,2.1,GRP,Switzerland ,0-10
97,97,780,CHF,134640.0,Wakeboard/Wakesurf,Nautique ,"Used boat,Unleaded",Used,2017.0,7.7,2.59,GRP,Switzerland ,51-60
98,98,778,EUR,19500.0,Cabin Boat,Sea Ray ,Used boat,Used,1996.0,8.95,2.59,GRP,Steinwiesen,0-10
99,99,773,CHF,28710.0,Center console boat,Quicksilver ,"Used boat,Unleaded",Used,2013.0,5.75,2.34,Plastic,Switzerland ,11-20
100,100,771,CHF,24750.0,Sport Boat,Windy ,"Used boat,Unleaded",Used,1997.0,7.85,2.54,GRP,Switzerland ,11-20
101,101,760,CHF,14355.0,Pilothouse,Draco ,"Used boat,Unleaded",Used,1992.0,6.77,2.28,,Switzerland ,0-10
102,102,746,CHF,11385.0,Classic,Meier ,"Used boat,Unleaded",Used,1958.0,4.6,1.84,Plastic,Lake Constance ,0-10
103,103,746,EUR,25000.0,Flybridge,Fairline ,"Used boat,Diesel",Used,1994.0,9.9,3.5,GRP,Italy ,11-20
104,104,744,CHF,193050.0,Motor Yacht,Bayliner ,"Used boat,Diesel",Used,1993.0,14.85,4.38,GRP,Switzerland ,61-70
105,105,744,EUR,65000.0,Motor Yacht,Bavaria ,"Used boat,Unleaded",Used,2015.0,9.31,2.99,GRP,Spain ,31-40
106,106,743,EUR,900000.0,Motor Yacht,Azimut ,"Used boat,Diesel",Used,1991.0,30.0,6.2,GRP,France ,91-100
107,107,742,CHF,147510.0,Motor Yacht,Jeanneau ,"Used boat,Diesel",Used,2011.0,10.85,3.73,GRP,Switzerland ,61-70
108,108,742,EUR,1499000.0,Motor Yacht,Riva ,"Used boat,Diesel",Used,2016.0,19.65,4.8,GRP,Spain ,91-100
109,109,738,EUR,8500.0,"Deck Boat,Pilothouse,Sport Boat",,"Used boat,Unleaded",Used,1998.0,7.9,2.5,Aluminium,Germany ,0-10
110,110,728,CHF,88110.0,Wakeboard/Wakesurf,MasterCraft ,"Used boat,Unleaded",Used,2015.0,6.93,2.59,GRP,Lake Geneva ,41-50
111,111,713,CHF,13860.0,Cabin Boat,Windy ,"Used boat,Unleaded",Used,1985.0,7.45,2.72,GRP,Switzerland ,0-10
112,112,712,CHF,63162.0,Wakeboard/Wakesurf,MasterCraft ,"Used boat,Unleaded",Used,2012.0,6.1,2.59,GRP,Switzerland ,31-40
113,113,711,CHF,94545.0,Motor Yacht,Glastron ,"Used boat,Unleaded",Used,2016.0,7.67,2.55,GRP,Switzerland ,51-60
114,114,709,CHF,18810.0,Bowrider,Larson ,"Used boat,Unleaded",Used,1998.0,6.07,2.47,GRP,Switzerland ,0-10
115,115,708,CHF,14850.0,Cabin Boat,,"Used boat,Diesel",Used,1985.0,6.9,2.55,GRP,Switzerland ,0-10
116,116,708,CHF,55935.0,Cabin Boat,Rinker ,"Used boat,Unleaded",Used,2008.0,7.47,2.59,GRP,Switzerland ,31-40
117,117,706,CHF,34650.0,Motor Yacht,Sunseeker ,Used boat,Used,1990.0,9.42,3.3,GRP,Switzerland ,11-20
118,118,704,EUR,43000.0,Motor Yacht,Bayliner ,"Used boat,Diesel",Used,1999.0,10.2,3.41,GRP,Croatia (Hrvatska) ,21-30
119,119,700,EUR,9900.0,"Cabin Boat,Sport Boat",Bayliner ,"Used boat,Unleaded",Used,1995.0,6.25,2.29,GRP,Portugal ,0-10
120,120,695,Â£,5626000.0,Motor Yacht,Princess ,"Used boat,Diesel",Used,2018.0,26.9,6.3,GRP,Italy ,91-100
121,121,691,CHF,58410.0,Wakeboard/Wakesurf,Malibu ,"Used boat,Unleaded",Used,2007.0,7.49,2.59,GRP,Switzerland ,31-40
122,122,690,CHF,282150.0,Wakeboard/Wakesurf,Pavati ,"Display Model,Unleaded",Display,2019.0,7.52,2.56,Aluminium,Switzerland ,71-80
123,123,686,CHF,18711.0,Sport Boat,Sunbird ,"Used boat,Unleaded",Used,1990.0,6.5,2.45,Plastic,Switzerland ,0-10
124,124,686,CHF,43560.0,Sport Boat,Scarani ,"Used boat,Unleaded",Used,2015.0,6.9,2.42,GRP,Switzerland ,21-30
125,125,685,EUR,65000.0,Motor Yacht,Sunseeker ,"Used boat,Diesel",Used,1993.0,12.8,4.0,GRP,Austria ,31-40
126,126,684,CHF,25641.0,"Cabin Boat,Fishing Boat",Bella ,"Used boat,Unleaded",Used,2004.0,5.62,2.08,GRP,Switzerland ,11-20
127,127,683,EUR,7400.0,Classic,Glastron ,"Used boat,Unleaded",Used,1976.0,7.0,2.2,GRP,Rheinfelden,0-10
128,128,683,EUR,38000.0,Motor Yacht,,"Used boat,Diesel",Used,2020.0,11.8,3.25,Plastic,Split,21-30
129,129,682,CHF,14751.0,Sport Boat,Regal ,"Used boat,Unleaded",Used,1996.0,6.06,2.5,GRP,Switzerland ,0-10
130,130,678,CHF,29502.0,Motor Yacht,Sea Ray ,"Used boat,Unleaded",Used,1996.0,7.0,2.43,GRP,Switzerland ,11-20
131,131,677,EUR,30000.0,Cabin Boat,Crownline ,"Used boat,Unleaded",Used,1995.0,8.13,2.5,GRP,Germany ,11-20
132,132,677,EUR,60000.0,Motor Yacht,Diano ,Used boat,Used,2003.0,23.9,6.1,Wood,Italy ,31-40
133,133,673,EUR,9800.0,"Cabin Boat,Trawler",,"Used boat,Diesel",Used,1930.0,9.8,2.55,Steel,Austria ,0-10
134,134,672,CHF,61380.0,Sport Boat,Cobalt ,"Used boat,Unleaded",Used,2007.0,8.13,2.59,GRP,Switzerland ,31-40
135,135,665,CHF,19800.0,Sport Boat,Performance ,"Used boat,Unleaded",Used,1991.0,7.14,2.53,GRP,"Tenero, lago Maggiore",0-10
136,136,665,CHF,68310.0,Motor Yacht,Larson ,"Used boat,Unleaded",Used,2013.0,8.57,2.68,GRP,Switzerland ,31-40
137,137,665,EUR,40000.0,Deck Boat,SACS ,"Used boat,Diesel",Used,2005.0,7.8,3.0,,Czech Republic ,21-30
138,138,662,CHF,121770.0,Sport Boat,Windy ,"Used boat,Diesel",Used,2001.0,8.4,2.65,GRP,Switzerland ,51-60
139,139,660,CHF,61380.0,Flybridge,Princess ,"Used boat,Unleaded",Used,1990.0,9.39,3.4,GRP,Switzerland ,31-40
140,140,655,CHF,22770.0,Cabin Boat,Tullio Abbate ,"Used boat,Unleaded",Used,1991.0,7.5,2.28,,Switzerland ,11-20
141,141,655,CHF,19701.0,Deck Boat,Salmeri Boote ,"Used boat,Unleaded",Used,2015.0,5.53,2.18,GRP,VierwaldstÃ¤ttersee - Buochs,0-10
142,142,654,CHF,28611.0,Cabin Boat,Galaxy ,"Used boat,Unleaded",Used,1990.0,8.1,2.45,GRP,Switzerland ,11-20
143,143,652,EUR,62800.0,Sport Boat,Crownline ,"Used boat,Unleaded",Used,2010.0,7.5,2.59,Plastic,bodensee,31-40
144,144,651,CHF,29589.12,"Cabin Boat,House Boat,Trawler",Aquanaut ,"Used boat,Diesel",Used,1984.0,9.0,3.28,Steel,Switzerland ,11-20
145,145,651,EUR,19999.0,Offshore Boat,Chaparral ,"Used boat,Unleaded",Used,1990.0,10.0,2.5,GRP,Spain ,0-10
146,146,646,CHF,188100.0,"Cabin Boat,Motor Yacht,Sport Boat",Windy ,"Used boat,Diesel",Used,2003.0,12.26,3.41,GRP,Lake Constance ,61-70
147,147,642,EUR,27000.0,Motor Yacht,Formula ,"Used boat,Unleaded",Used,1990.0,8.15,2.7,GRP,Switzerland ,11-20
148,148,641,CHF,3960.0,Fishing Boat,,"Used boat,Unleaded",Used,1994.0,5.6,1.58,GRP,Switzerland ,0-10
149,149,640,EUR,12350.0,"Cabin Boat,Trawler",Polaris ,"Used boat,Unleaded",Used,1978.0,7.7,2.66,GRP,Netherlands ,0-10
150,150,636,EUR,40000.0,Motor Yacht,VZ Cantiere Nautico ,"Used boat,Diesel",Used,1981.0,15.5,4.7,Wood,Italy ,21-30
151,151,635,CHF,9405.0,"Cabin Boat,Motor Yacht",Fjord ,"Used boat,Unleaded",Used,1976.0,6.54,2.5,Plastic,Switzerland ,0-10
152,152,633,CHF,82170.0,Motor Yacht,Colombo ,"Used boat,Diesel",Used,1989.0,12.4,3.15,GRP,Switzerland ,41-50
153,153,632,EUR,78000.0,Motor Yacht,Bavaria ,"Used boat,Diesel",Used,,11.5,3.8,GRP,Italy ,41-50
154,154,631,EUR,21000.0,Cabin Boat,Schwarz ,"Used boat,Diesel",Used,1973.0,10.3,3.35,GRP,Germany ,0-10
155,155,631,CHF,67320.0,Wakeboard/Wakesurf,MasterCraft ,"Used boat,Unleaded",Used,2010.0,7.87,2.9,GRP,Switzerland ,31-40
156,156,630,CHF,34650.0,Cabin Boat,Cranchi ,Used boat,Used,2012.0,7.51,2.83,GRP,Switzerland ,11-20
157,157,628,CHF,19701.0,Motor Yacht,Scand ,"Used boat,Unleaded",Used,1986.0,7.8,2.59,GRP,Switzerland ,0-10
158,158,628,CHF,7920.0,Motor Yacht,Fjord ,"Used boat,Diesel",Used,1973.0,6.45,2.37,Plastic,Lake Geneva ,0-10
159,159,628,CHF,13365.0,Sport Boat,Chris Craft ,"Used boat,Unleaded",Used,1995.0,6.35,2.35,Plastic,Switzerland ,0-10
160,160,622,CHF,326205.0,Hardtop,Sealine ,"Used boat,Diesel",Used,2019.0,10.31,3.5,GRP,Switzerland ,81-90
161,161,622,EUR,29800.0,Sport Boat,Nidelv ,"Used boat,Unleaded",Used,2005.0,6.26,2.3,GRP,Germany ,11-20
162,162,622,CHF,14850.0,Sport Boat,Fjord ,"Used boat,Unleaded",Used,1980.0,6.5,2.5,GRP,Switzerland ,0-10
163,163,621,EUR,43000.0,Sport Boat,Regal ,"Used boat,Unleaded",Used,2013.0,6.7,2.5,GRP,Belgium ,21-30
164,164,621,EUR,14800.0,Sport Boat,Sea Ray ,"Used boat,Unleaded",Used,1991.0,7.19,2.44,GRP,Germany ,0-10
165,165,620,CHF,41580.0,Sport Boat,Ilver ,"Used boat,Unleaded",Used,2000.0,9.0,2.93,GRP,Switzerland ,21-30
166,166,620,CHF,9009.0,Cabin Boat,Hardy Marine ,"Used boat,Unleaded",Used,1992.0,6.2,2.4,GRP,Lake Constance ,0-10
